true_eta,scheme,prior_family,prior_strength,eta,posterior_weight
0.0,aggregate_weekly,spike_slab,strong,2.75,0.02558254048983547
0.0,aggregate_weekly,spike_slab,strong,3.0,0.06666683920502516
0.0,aggregate_weekly,spike_slab,strong,3.25,0.006251785910467619
0.0,aggregate_weekly,spike_slab,strong,3.5,0.0010261844415866354
0.0,aggregate_monthly,half_normal,weak,0.0,0.1594100041216769
0.0,aggregate_monthly,half_normal,weak,0.25,0.1170214818942976
0.0,aggregate_monthly,half_normal,weak,0.5,0.10387091585160484
0.0,aggregate_monthly,half_normal,weak,0.75,0.2155959815259106
0.0,aggregate_monthly,half_normal,weak,1.0,0.024789418118291533
0.0,aggregate_monthly,half_normal,weak,1.25,0.13228974631535978
0.0,aggregate_monthly,half_normal,weak,1.5,0.03263540796477801
0.0,aggregate_monthly,half_normal,weak,1.75,0.0007788641552157008
0.0,aggregate_monthly,half_normal,weak,2.0,0.019931560001736306
0.0,aggregate_monthly,half_normal,weak,2.25,0.056266091260404674
0.0,aggregate_monthly,half_normal,weak,2.5,0.061798977583559095
0.0,aggregate_monthly,half_normal,weak,2.75,0.011234436347988002
0.0,aggregate_monthly,half_normal,weak,3.0,0.033358206064055554
0.0,aggregate_monthly,half_normal,weak,3.25,0.0021999017972744754
0.0,aggregate_monthly,half_normal,weak,3.5,0.028819006997846893
0.0,aggregate_monthly,half_normal,moderate,0.0,0.1883461869940633
0.0,aggregate_monthly,half_normal,moderate,0.25,0.1371869752498086
0.0,aggregate_monthly,half_normal,moderate,0.5,0.11702516132233785
0.0,aggregate_monthly,half_normal,moderate,0.75,0.23168139714898447
0.0,aggregate_monthly,half_normal,moderate,1.0,0.03355227756616122
0.0,aggregate_monthly,half_normal,moderate,1.25,0.12048074892147533
0.0,aggregate_monthly,half_normal,moderate,1.5,0.0327330719869408
0.0,aggregate_monthly,half_normal,moderate,1.75,0.0007682950201384257
0.0,aggregate_monthly,half_normal,moderate,2.0,0.01677916184552317
0.0,aggregate_monthly,half_normal,moderate,2.25,0.03151707007902664
0.0,aggregate_monthly,half_normal,moderate,2.5,0.03089716443189879
0.0,aggregate_monthly,half_normal,moderate,2.75,0.009366845506751466
0.0,aggregate_monthly,half_normal,moderate,3.0,0.03334143837634296
0.0,aggregate_monthly,half_normal,moderate,3.25,0.0013774124768925465
0.0,aggregate_monthly,half_normal,moderate,3.5,0.014946793073654426
0.0,aggregate_monthly,half_normal,strong,0.0,0.26307688943417334
0.0,aggregate_monthly,half_normal,strong,0.25,0.1873026155638379
0.0,aggregate_monthly,half_normal,strong,0.5,0.1373740242880976
0.0,aggregate_monthly,half_normal,strong,0.75,0.2210097457927775
