eta,alpha,loglik,logprior,logpost,posterior_weight
2.55,-5.627702440291813,-27076.305236273318,-0.0,-27076.305236273318,0.035554125236320525
2.56,-5.636392609954299,-27076.83890250262,-0.0,-27076.83890250262,0.02085075087151688
2.57,-5.645098267369093,-27077.4644243658,-0.0,-27077.4644243658,0.011154779909033918
2.58,-5.653819250745613,-27078.180822333943,-0.0,-27078.180822333943,0.005449207195046323
2.59,-5.662555399489548,-27078.98712456091,-0.0,-27078.98712456091,0.0024331042283667827
2.6,-5.671306554206268,-27079.882366888858,-0.0,-27079.882366888858,0.0009939439864033056
2.61,-5.6800725567008215,-27080.865592851755,-0.0,-27080.865592851755,0.00037183674129842597
2.62,-5.688853249983055,-27081.935853677336,-0.0,-27081.935853677336,0.0001275099071712658
2.63,-5.69764847826761,-27083.092208286987,-0.0,-27083.092208286987,4.011857544989736e-5
2.64,-5.706458086974777,-27084.333723294007,-0.0,-27084.333723294007,1.1592107147610414e-5
2.65,-5.715281922733908,-27085.659473000214,-0.0,-27085.659473000214,3.0789072405588675e-6
2.66,-5.724119833380854,-27087.06853939072,-0.0,-27087.06853939072,7.523966390791209e-7
2.67,-5.732971667962232,-27088.56001212731,-0.0,-27088.56001212731,1.6932008097564276e-7
2.68,-5.741837276732014,-27090.13298853996,-0.0,-27090.13298853996,3.512153521564752e-8
2.69,-5.7507165111540814,-27091.7865736171,-0.0,-27091.7865736171,6.720949264125726e-9
2.7,-5.759609223902231,-27093.51987999421,-0.0,-27093.51987999421,1.1875864175947697e-9
2.71,-5.76851526885676,-27095.33202794087,-0.0,-27095.33202794087,1.9393641727062808e-10
2.72,-5.777434501106171,-27097.222145346583,-0.0,-27097.222145346583,2.9294885767438493e-11
2.73,-5.786366776945471,-27099.189367705105,-0.0,-27099.189367705105,4.096736147417057e-12
2.74,-5.79531195387446,-27101.232838097407,-0.0,-27101.232838097407,5.308478693316058e-13
2.75,-5.804269890596885,-27103.35170717338,-0.0,-27103.35170717338,6.379063583203743e-14
2.76,-5.813240447017876,-27105.545133132215,-0.0,-27105.545133132215,7.114823659826108e-15
2.77,-5.822223484243096,-27107.81228170162,-0.0,-27107.81228170162,7.37146872451246e-16
2.78,-5.8312188645736285,-27110.152326115633,-0.0,-27110.152326115633,7.100446358899341e-17
2.79,-5.840226451508528,-27112.564447091678,-0.0,-27112.564447091678,6.363775074728321e-18
2.8,-5.849246109738004,-27115.047832806027,-0.0,-27115.047832806027,5.311217774983182e-19
2.81,-5.858277705140864,-27117.601678868377,-0.0,-27117.601678868377,4.131168000216462e-20
2.82,-5.867321104784509,-27120.22518829553,-0.0,-27120.22518829553,2.9970720885007282e-21
2.83,-5.876376176918967,-27122.917571483744,-0.0,-27122.917571483744,2.0295980050622658e-22
2.84,-5.885442790972633,-27125.67804618016,-0.0,-27125.67804618016,1.2839588326539544e-23
2.85,-5.894520817553115,-27128.505837453584,-0.0,-27128.505837453584,7.5937615044043805e-25
2.86,-5.903610128438714,-27131.40017766385,-0.0,-27131.40017766385,4.2020476334166554e-26
2.87,-5.912710596575863,-27134.360306430586,-0.0,-27134.360306430586,2.177175216922689e-27
2.88,-5.92182209607742,-27137.38547060119,-0.0,-27137.38547060119,1.0570153054805193e-28
2.89,-5.930944502214999,-27140.474924217684,-0.0,-27140.474924217684,4.812254841993952e-30
2.9,-5.9400776914164055,-27143.627928483005,-0.0,-27143.627928483005,2.05596759044372e-31
2.91,-5.94922154126138,-27146.84375172644,-0.0,-27146.84375172644,8.249012750830034e-33
2.92,-5.958375930474773,-27150.12166936825,-0.0,-27150.12166936825,3.110429992233602e-34
2.93,-5.967540738925692,-27153.46096388384,-0.0,-27153.46096388384,1.1030196500481547e-35
2.94,-5.976715847617271,-27156.860924766763,-0.0,-27156.860924766763,3.68128125341065e-37
2.95,-5.985901138684113,-27160.320848491538,-0.0,-27160.320848491538,1.1571061923432066e-38
2.96,-5.995096495390584,-27163.840038475766,-0.0,-27163.840038475766,3.4277443750558386e-40
2.97,-6.004301802118022,-27167.417805041223,-0.0,-27167.417805041223,9.576441277293512e-42
2.98,-6.013516944366444,-27171.053465374996,-0.0,-27171.053465374996,2.5249741069542234e-43
2.99,-6.022741808742609,-27174.746343489485,-0.0,-27174.746343489485,6.287244381077453e-45
3.0,-6.031976282960869,-27178.495770182435,-0.0,-27178.495770182435,1.4794661001440561e-46
3.01,-6.041220255830382,-27182.30108299586,-0.0,-27182.30108299586,3.292142774820249e-48
3.02,-6.050473617256813,-27186.161626175173,-0.0,-27186.161626175173,6.932119834043284e-50
3.03,-6.059736258228696,-27190.07675062715,-0.0,-27190.07675062715,1.3821307080777342e-51
3.04,-6.0690080708165794,-27194.04581387805,-0.0,-27194.04581387805,2.610999856850402e-53
3.05,-6.078288948165351,-27198.068180031038,-0.0,-27198.068180031038,4.676440613494456e-55
3.06,-6.08757878448742,-27202.143219723246,-0.0,-27202.143219723246,7.945992882593655e-57
3.07,-6.096877475057596,-27206.270310082582,-0.0,-27206.270310082582,1.2816681803656038e-58
3.08,-6.106184916204569,-27210.44883468398,-0.0,-27210.44883468398,1.9636560747714962e-60
3.09,-6.1155010053066405,-27214.67818350565,-0.0,-27214.67818350565,2.8594504163089778e-62
3.1,-6.124825640784053,-27218.957752884726,-0.0,-27218.957752884726,3.959945454869921e-64
3.11,-6.134158722093019,-27223.286945472864,-0.0,-27223.286945472864,5.218488752685327e-66
3.12,-6.143500149718051,-27227.66517019137,-0.0,-27227.66517019137,6.547958465991164e-68
3.13,-6.152849825165987,-27232.09184218625,-0.0,-27232.09184218625,7.827565229716156e-70
3.14,-6.162207650959175,-27236.56638278301,-0.0,-27236.56638278301,8.919867540987505e-72
